title,published_at,url
Edelmín y María del Socorro García Román - Machine Learning en el sector portuario con Python,2023-12-19T05:53:11Z,https://www.youtube.com/watch?v=62-up6Jn7so
Juan Luis Cano - Python para un mundo mejor: informe desde la trinchera,2023-12-19T05:54:12Z,https://www.youtube.com/watch?v=teVqkugbBDI
Elen Irazabal - Copyright e IA Generativa. ¿Qué nos espera?,2023-12-19T05:53:39Z,https://www.youtube.com/watch?v=IUfzzrB2vb0
Mai Giménez - Arquitectura de software para investigadoras,2023-12-19T05:54:24Z,https://www.youtube.com/watch?v=chksKNxoRvM
PyConES 2023 - Cierre,2023-12-19T05:55:07Z,https://www.youtube.com/watch?v=lxMrGstUT7Y
Keynote - Nerea Luis - El futuro del trabajo,2023-12-19T05:54:46Z,https://www.youtube.com/watch?v=IJYHUk49b8Y
Sara San Luis y Christian Carballo: Revolucionando Telegram: Creando bots inteligentes con OpenAI,2023-12-19T05:53:20Z,https://www.youtube.com/watch?v=OMJLiJnabPw
Federico Mon - Desentrañando el código: La magia de la instrumentación en Python,2023-12-19T05:53:48Z,https://www.youtube.com/watch?v=nFKEseqTh8E
Pablo Galindo - Profiling a la velocidad de la luz,2023-12-19T05:54:35Z,https://www.youtube.com/watch?v=YJWQ0hHfajs
Israel Blancas - Instrumentando aplicaciones Python con OpenTelemetry,2023-12-19T05:53:58Z,https://www.youtube.com/watch?v=TboavqDRL60
"Andros Fenollosa - LiveView, un enfoque moderno de desarrollo Web",2023-12-19T05:53:02Z,https://www.youtube.com/watch?v=P4j_RrsZITk
Jesús Armando Anaya - Explicando el sistema de un vehículo autónomo con Python,2023-12-19T05:52:40Z,https://www.youtube.com/watch?v=OZqXeCk3-ow
Aún estas a tiempo para HacktoberFest: Intro a Git y Hablemos de OpenSource,2022-10-25T06:19:54Z,https://www.youtube.com/watch?v=jWJonTUkrOE
Israel Blancas - Trabajo remoto ¿estamos realmente sol@s? (Open Space),2022-10-22T15:12:36Z,https://www.youtube.com/watch?v=tJjSLVWJMQg
Pablo Galindo - Faster CPython project: Como estamos haciendo Python 3.11 más rápido,2022-10-22T15:10:43Z,https://www.youtube.com/watch?v=94jLt3CX5Dc
Iris Núñez - Pandas usó de index contra dataframe gigantes ¡Es muy efectivo!,2022-10-22T15:10:48Z,https://www.youtube.com/watch?v=8Pd98FMF7Yc
"Fede - Faster Python, démosle alas a la serpiente",2022-10-22T15:10:56Z,https://www.youtube.com/watch?v=02jTbMNcW9Y
Juan Jose y Victor - ¿Qué hay de nuevo en Python 3.11? (open space),2022-10-22T15:11:02Z,https://www.youtube.com/watch?v=tvl5lfqoJf0
Jimena - Crea tu propio juguete sexual con Python 🍆🍑,2022-10-22T15:10:37Z,https://www.youtube.com/watch?v=oOmJPvjHRfA
Alejandro Cortés - Geolocalización sin G,2022-10-22T15:09:07Z,https://www.youtube.com/watch?v=_uf-emIJB-I
Jorge Giménez - FAKE NEWS ALARM! Cómo detectar noticias falsas con redes neuronales recurrentes,2022-10-22T15:09:07Z,https://www.youtube.com/watch?v=QK-bdGyb1tU
José Muñoz - Cómo no vender la misma entrada a dos personas diferentes,2022-10-22T15:09:07Z,https://www.youtube.com/watch?v=-mrPStHYOGw
Antoni Aloy - Estimación de proyectos 101,2022-10-22T15:09:07Z,https://www.youtube.com/watch?v=g8vxzheWsOo
Charlas relámpago,2022-10-22T15:09:08Z,https://www.youtube.com/watch?v=craN6YkhUaA
★Nieves Ábalos Serrano - Inteligencia Artificial Conversacional ❤ Python (Keynote),2022-10-22T15:09:07Z,https://www.youtube.com/watch?v=kBTVZfM_XzM
Miguel F Alarcon - Introducción a la causalidad en Python,2022-10-22T15:09:07Z,https://www.youtube.com/watch?v=sSbDW_NzS5s
Maria Camila Guerrero Giraldo - Lo mejor de dos mundos: Backend y Machine Learning con Python,2022-10-22T15:09:07Z,https://www.youtube.com/watch?v=aNFbEGoUN9E
Pamela Bustamante - Optimización Matemática con Python,2022-10-22T15:09:07Z,https://www.youtube.com/watch?v=UOjB89f5n2c
Juan Luis Cano García - Hacer crecer tu proyecto open source (Open Space),2022-10-22T15:09:07Z,https://www.youtube.com/watch?v=62MNUq5QcXY
Antonio y Alejandro - Introducción al aprendizaje por refuerzo en Python,2022-10-22T15:09:07Z,https://www.youtube.com/watch?v=Z6myo1vGoO4
Unai - Derechos o mesas de ping pong,2022-10-22T15:09:07Z,https://www.youtube.com/watch?v=rGD8ZA09-O4
"Javier y Pablo - Soy un ordenador, ¿A qué quieres que te gane?",2022-10-22T15:09:07Z,https://www.youtube.com/watch?v=4kxd5k_vtjA
"Cheuk Ting Ho - Came for the Conference, Stayed for the Sprint",2022-10-22T15:09:07Z,https://www.youtube.com/watch?v=c_HoP_V1gj0
Victor - Inteligencia Artificial en Medicina: no es oro todo lo que reluce,2022-10-22T15:09:07Z,https://www.youtube.com/watch?v=mUuZ_c7JQ8g
Cristián Maureira-Fredes - Aprendiendo sobre el núcleo de Python rompiéndolo todo,2022-10-22T15:09:07Z,https://www.youtube.com/watch?v=bKLvyltEKV0
Javier Martín Salinas - Creando workflows dinámicos en Airflow,2022-10-22T15:09:07Z,https://www.youtube.com/watch?v=HQsRu_SfUGg
Ángel y Guillermo - Asegurando el tiro: intervalos de confianza para tus modelos de Machine Learning,2022-10-22T15:09:07Z,https://www.youtube.com/watch?v=tuskhDN7VNk
"Francis Santiago - Open your mind!, no soy programadora pero uso Python",2022-10-22T15:09:07Z,https://www.youtube.com/watch?v=1_Z7gvpWTT0
Irene y Javier - Home is where your Assistant is written in Python,2022-10-22T15:09:07Z,https://www.youtube.com/watch?v=RVXpN2nMOcU
Jara Juana Bernejo Vega - Análisis de red del discurso de odio queerfóbico en Twitter,2022-10-22T15:09:07Z,https://www.youtube.com/watch?v=nC58DAXGhgw
Juan Luis Cano - Más allá de pandas: comparativa de dataframes en Python,2022-10-22T15:09:07Z,https://www.youtube.com/watch?v=WgLtYLzEXzQ
Javier y Manuel - Streamlit and Snowpark...when Python meets Snowflake,2022-10-22T15:09:07Z,https://www.youtube.com/watch?v=pI33M2Qhyk0
Elena Guidi - Salvemos los pingüinos con el green computing,2022-10-22T15:09:07Z,https://www.youtube.com/watch?v=FA6VzX36DwU
Bea Hernández - Explicabilidad local: ¿cómo interpreto la predicción?,2022-10-22T15:09:07Z,https://www.youtube.com/watch?v=7f0VcOsb-2o
Inauguración Conferencia,2022-10-22T15:09:07Z,https://www.youtube.com/watch?v=g2KxtFP8k9M
Vasja Urbancic - Fail Fast MLOps: Lessons learned from deploying ML solutions in production,2022-10-22T15:09:07Z,https://www.youtube.com/watch?v=A9bLWPX6SIE
Manuel Calzado Vidal - Feature Flags. Stay in Control,2022-10-22T15:09:07Z,https://www.youtube.com/watch?v=zoV-L2rgWdk
★Mai Giménez - La era del diamante: sesgos y riesgos en IA (Keynote),2022-10-22T15:09:07Z,https://www.youtube.com/watch?v=ud_S5j_JWrw
Marina Moro - Biohacking con Python,2022-10-22T15:09:07Z,https://www.youtube.com/watch?v=wfTLAn2fLuQ
PyConES 2022 - Video de Introducción,2022-10-22T15:09:07Z,https://www.youtube.com/watch?v=AE1lwMBs3I8
Juan Aragon - Demystifying stepping down. Reversing a career in Software,2022-10-22T15:09:07Z,https://www.youtube.com/watch?v=nhGR_f_ApBA
Cierre de la conferencia,2022-10-22T15:09:07Z,https://www.youtube.com/watch?v=LHHNXVHQT6Q
"Sergio León - Inyección de dependencias, fácil!",2022-10-22T15:09:07Z,https://www.youtube.com/watch?v=5qHvzZFhR_0
Gerard - Escalado transparente de aplicaciones python en el cloud con Lithops,2022-10-22T15:09:07Z,https://www.youtube.com/watch?v=yYymuSb8SkE
Benjamín Granados - La magia de OpenAPI Specification,2022-10-22T15:09:07Z,https://www.youtube.com/watch?v=63bke8GuRCo
Inés Huertas - MLOps con MLFlow,2022-10-22T15:09:07Z,https://www.youtube.com/watch?v=7bprXk5_Wkk
José Carlos Calvo Tudela - Optimización de rendimiento de una API usando DRF,2022-10-22T15:09:07Z,https://www.youtube.com/watch?v=-cKnzazAZ5c
Juan Carlos y Jaume - Regresión al Futuro: Previsión de Series Temporales con XGBoost,2022-10-22T15:09:07Z,https://www.youtube.com/watch?v=QZoAaauw6fo
Nerea Luis - &quot;Computer says no&quot;,2022-10-22T15:09:07Z,https://www.youtube.com/watch?v=aqEqozCcgLQ
Ramón Medrano - Cómo SRE utiliza Python para automatizar millones de máquinas y servicios,2022-10-22T15:09:07Z,https://www.youtube.com/watch?v=XRkk3-qAi7M
Isabella Karabasz - The ups and downs of deploying AI in the wild. A pyspark story,2022-10-22T15:09:07Z,https://www.youtube.com/watch?v=uaD4SWaMG8M
Israel y Francesco - Django Zero Downtime Migrations,2022-10-22T15:09:07Z,https://www.youtube.com/watch?v=9QfZvlSTiSg
Martina Kienberger - Análisis de encuestas con Python,2022-10-22T15:09:07Z,https://www.youtube.com/watch?v=C9TxepawzAw
Maria José Molina-Contreras - Respira mejor,2022-10-22T15:06:04Z,https://www.youtube.com/watch?v=z38pp61CmFQ
Marta Arcones - Desarrollo de Software Seguro,2022-10-22T15:06:04Z,https://www.youtube.com/watch?v=NyvR2UKkNc8
Zerjillo y Javier - Control de dispositivos astronómicos con Python,2022-10-22T15:06:04Z,https://www.youtube.com/watch?v=ol9ICBMWOOg
Daniel Sánchez Llopis - Más vale Wagtail en mano que CMS volando,2022-10-22T15:06:04Z,https://www.youtube.com/watch?v=TaJzucSdvHg
"Fran y Sonia - Resolver, Romper, Recombinar: las tres Rs para programar apps Django reutilizables",2022-10-22T15:06:04Z,https://www.youtube.com/watch?v=tUzkFjV0I3o
Caterina Fuster Barceló - Protegiendo el oro con tu corazón,2022-10-22T15:06:04Z,https://www.youtube.com/watch?v=ejwLeCrf3pY
Gloria Silva - Mi yo niña estaría orgullosa,2022-10-22T15:06:04Z,https://www.youtube.com/watch?v=U6L1gYR6IBQ
Enrique Catalá - Despliega tu red neuronal python con FastAPI en kubernetes,2022-10-22T15:06:04Z,https://www.youtube.com/watch?v=kTjBsHFGTBU
Alberto Vara - SegmentationFault Fest,2022-10-22T15:06:04Z,https://www.youtube.com/watch?v=bYXYZAAKYXg
Irene Morgado - Cuando tu empresa contraataca,2022-10-22T15:06:04Z,https://www.youtube.com/watch?v=vUB_M14zE84
Victor Suarez - Pyxel: Los 8 bits Retro Pythoneros,2022-10-22T15:06:04Z,https://www.youtube.com/watch?v=Z6-eGh3KJyA
Como compartir grandes Datasets entre procesos sin perder la salud mental - PyConES 2021,2021-10-19T08:50:36Z,https://www.youtube.com/watch?v=VxImociXGy8
Deep learning-based super-resolution of climate forecast data - PyConES 2021,2021-10-19T08:51:35Z,https://www.youtube.com/watch?v=1p8bzYioXdA
Hackeando CPython de forma divertida - PyConES 2021,2021-10-19T08:50:09Z,https://www.youtube.com/watch?v=xSsiu_pKduw
Reconstrucción 3D en interiores a partir de imágenes 360º - PyConES 2021,2021-10-19T08:50:24Z,https://www.youtube.com/watch?v=y9xPapu_RqI
